originator,C,OML.mlm,GML.mlm,Competitive Suppression.mlm,Direct Suppression.mlm,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.mlm,ROE Competitive Suppression.mlm,ROE Direct Suppression.mlm
Competitive Suppression,0.1,-218.343849296904,-263.11400758682,-181.944404189274,-239.232752023893,-226.84621939015,-264.766437225079,-185.594508935414,-266.323112428402
Competitive Suppression,0.1,-208.633675192948,-247.644500274131,-194.267724423631,-222.911034504776,-297.739572402847,-252.831931740994,-213.385397768486,-231.926186167659
Competitive Suppression,0.1,-212.643915412303,-265.992966129793,-174.035628468074,-229.640896161245,-230.958241534805,-262.895753211778,-185.188145337892,-232.732952793905
Competitive Suppression,0.1,-196.398621521467,-265.523549001094,-172.741725438075,-220.869736226037,-218.398202571461,-310.699172985501,-171.588748007043,-223.982634027795
Competitive Suppression,0.1,-212.586985272266,-225.681760749064,-165.768922006973,-231.545860639194,-226.794698409754,-233.095904990331,-169.071299987248,-253.538785141678
Competitive Suppression,0.1,-241.229908252525,-242.813386864482,-163.535258815413,-244.00721254864,-203.903391348666,-236.355495588069,-306.582829834501,-396.411150046726
Competitive Suppression,0.1,-201.869004672187,-281.847755902371,-177.01145824713,-230.180900110191,-256.735912422721,-295.637798117516,-190.193251090709,-205.197239672433
Competitive Suppression,0.1,-220.525782949505,-258.546979341094,-191.550998224151,-240.847492501929,-250.91720784623,-267.468296191159,-195.238253130223,-271.593748126805
Competitive Suppression,0.1,-197.363732481391,-265.15118648974,-204.510154737358,-232.227824037753,-323.00497134526,-249.740613193344,-200.274951745167,-363.066024261047
Competitive Suppression,0.1,-197.223032594575,-297.102982335314,-181.43846875392,-214.031463712017,-231.49254637412,-304.76839351133,-183.553384948838,-253.50930275985
Competitive Suppression,0.1,-204.878030266294,-301.317798910211,-170.542551426935,-229.657213737152,-322.929712726732,-304.156323643994,-193.354849268201,-226.360205251032
Competitive Suppression,0.1,-205.224584445722,-219.759981893756,-174.147558213436,-230.80298779423,-204.143022533337,-242.720001390581,-199.385038202811,-245.587478154052
Competitive Suppression,0.1,-185.905508235357,-213.141706894006,-170.023979497257,-211.532481433982,-206.595337311768,-224.895367172246,-176.773259902675,-207.400976005203
Competitive Suppression,0.1,-214.243651514697,-249.863589877213,-181.267588832932,-238.024307632877,-227.048359071635,-282.306119589768,-190.726820975247,-229.45495389066
Competitive Suppression,0.1,-206.312460743786,-246.232503857097,-167.396660586577,-226.960859030314,-266.461060879828,-241.623065320402,-176.612095163314,-286.309560263431
Competitive Suppression,0.1,-213.707909733076,-249.952993537106,-184.133866543711,-226.887804083852,-217.04520602469,-292.060679911298,-195.657524068676,-251.499421579097
Competitive Suppression,0.1,-208.784954257867,-260.556746329526,-186.822361004263,-230.651863516199,-253.781980745858,-281.363844854354,-189.873890659309,-234.11241977202
Competitive Suppression,0.1,-216.661679741646,-239.526959554671,-188.311643634926,-240.71243186604,-210.02052442636,-251.461516644595,-196.807216590198,-283.889415818507
Competitive Suppression,0.1,-214.599001345074,-276.93954130956,-187.473880691996,-231.912668993573,-245.936367597082,-282.861716800132,-207.405810050811,-234.346296184414
Competitive Suppression,0.1,-207.843962104912,-268.302068692282,-172.226215868886,-233.248842865159,-222.280470552789,-296.946822411409,-191.328717293161,-287.377023633189
Competitive Suppression,0.1,-235.769964934657,-261.036594187862,-196.559424362369,-243.771059442028,-279.455953092922,-265.442492538414,-219.043184916741,-247.323873091547
Competitive Suppression,0.1,-221.887928286576,-259.187889590192,-179.104068385481,-243.823395622598,-286.92340761423,-280.629149763557,-198.668840930648,-262.273445924472
Competitive Suppression,0.1,-216.857443763408,-232.847580230284,-170.776387888048,-246.327180473363,-193.997069048916,-258.651519492771,-186.399301920427,-332.201644058483
Competitive Suppression,0.1,-225.913011087846,-258.616919481761,-169.29647963133,-242.623829232677,-217.082853097326,-272.190246162858,-185.609148782047,-234.636781556944
Competitive Suppression,0.1,-200.586690837474,-277.55015209659,-175.477643771929,-229.194217317579,-230.742201140908,-259.54448405017,-177.837197139988,-212.182378283243
Competitive Suppression,0.1,-198.390594628089,-243.746905669378,-171.512350257642,-222.356890463234,-214.760556569247,-267.024800388236,-175.323402409744,-229.193252168771
Competitive Suppression,0.1,-223.072634938348,-250.652423185139,-180.675034736262,-245.884594718838,-189.08758152645,-244.39653370027,-192.873195019331,-264.889267190752
Competitive Suppression,0.1,-219.10010013275,-290.046071837133,-187.369123649946,-241.979157116038,-317.458843525948,-292.264468361709,-210.369824521657,-254.101065217179
Competitive Suppression,0.1,-209.216415898848,-218.578352422026,-169.01153949409,-227.71250142418,-293.78079820621,-227.427094979194,-174.624268198059,-268.141322572763
Competitive Suppression,0.1,-222.663467918366,-272.606801172743,-171.61421043268,-244.316796594877,-200.305907590992,-286.782713820486,-239.701805289497,-254.988682442561
Competitive Suppression,0.1,-186.281726215312,-230.535292109376,-175.991026247471,-213.437160285639,-225.6810566297,-250.939847847953,-186.564116597958,-306.389557196936
Competitive Suppression,0.1,-259.709077838596,-260.444603279014,-180.172365978356,-281.009279295848,-202.688977731157,-261.880188015699,-213.671498847159,-279.095073651612
Competitive Suppression,0.2,-215.451991367357,-225.853073070338,-173.874883306708,-240.403612537897,-194.109097566358,-245.207874191318,-175.864959391031,-251.249996898896
Competitive Suppression,0.2,-223.928586134492,-236.649395590061,-167.20041217569,-243.834716066138,-243.000845340763,-242.25453947277,-185.979159722979,-232.900459966315
Competitive Suppression,0.2,-216.352249710395,-272.877415620139,-180.126369174536,-232.819270105227,-238.059548539757,-289.623465645498,-185.52435025301,-226.051010612358
Competitive Suppression,0.2,-236.827507575051,-264.318701881601,-176.727586208398,-250.533535973902,-213.190555174342,-274.406457261011,-182.616219425998,-285.322246171215
Competitive Suppression,0.2,-203.553114669044,-244.064529523356,-179.863021557525,-229.901526671466,-254.019351930191,-252.571932205152,-188.319908653155,-274.619150912339
Competitive Suppression,0.2,-216.126978328271,-301.262626554913,-169.510180056919,-243.207541852774,-185.191416231965,-275.928033576593,-186.070369646346,-254.521186893458
Competitive Suppression,0.2,-227.980381873463,-316.372464420885,-175.548170562122,-280.582978794149,-234.03769680926,-289.387113374667,-198.801023770635,-250.798353378566
Competitive Suppression,0.2,-208.389526736036,-274.821147865719,-172.540368015438,-235.886274383671,-231.031826931288,-290.617478443233,-180.164825059917,-211.53047614374
Competitive Suppression,0.2,-211.014251445482,-231.148644144875,-175.072538743357,-229.747978348693,-292.876742476411,-234.608797710545,-186.304989889081,-298.807344749527
Competitive Suppression,0.2,-202.19168757562,-304.505530292148,-172.671333766197,-226.084855038104,-349.434982224326,-299.020228577293,-180.508474217557,-223.457275609019
Competitive Suppression,0.2,-209.783044769583,-229.638361093206,-158.496316110537,-227.78101567083,-182.804345261908,-244.174319806582,-172.169856976552,-234.858612367625
Competitive Suppression,0.2,-489.919190782375,-571.066169622136,-197.900776952117,-459.117337411561,-254.539783768176,-808.05124210249,-406.383654603643,-463.88929156076
Competitive Suppression,0.2,-213.517166806417,-240.574130541402,-171.013385668866,-229.481059239364,-229.090091446449,-240.621522835175,-180.819446741545,-225.747819374434
Competitive Suppression,0.2,-216.273606601851,-241.922317820668,-162.334045442076,-242.150007987805,-202.853911121784,-270.182435554616,-174.932653859642,-257.889030423195
Competitive Suppression,0.2,-193.8982659331,-236.878348747859,-176.569419580665,-218.353751637942,-232.892811651925,-273.762419085415,-172.34607314759,-212.188530997809
Competitive Suppression,0.2,-203.868248353948,-220.581197987641,-172.520494061334,-227.538704076009,-197.862262859191,-230.362639235888,-169.339751851791,-221.086062447488
Competitive Suppression,0.2,-212.892431894923,-235.887212360472,-162.144753090237,-234.844933152162,-195.006900797967,-259.401728082441,-167.83455661652,-249.250917592074
Competitive Suppression,0.2,-216.567829624309,-264.743054056265,-213.296939019363,-230.902660940884,-273.17454211943,-286.557347885803,-248.056233272778,-238.300446479527
Competitive Suppression,0.2,-233.124036667448,-270.840003033327,-173.814399417676,-257.034494879256,-225.206888642034,-292.834904659365,-197.471861149861,-279.518877608134
