originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,-159.34952344282,-154.176572120195,-205.761399350957,-157.87762913215,-214.062905241178,-200.610559649885,-184.146065113752,-179.011587604602,-242.427865309108,-201.408904333832,-212.082093691824,-173.330677155379,-174.188206187109,-157.358846203082,-226.292011893054,-157.060489545266
GML,-164.944392325891,-157.694743120788,-185.090145973955,-115.777391658351,-192.61154333223,-184.118228602165,-196.883040181678,-186.322427066053,-226.153347384778,-176.720561876495,-224.811031207589,-126.05325473425,-184.693187381866,-156.668485635521,-214.363308521042,-157.74329335803
Competitive Suppression,-214.090604995408,-202.061494102104,-283.307397921913,-197.058261674349,-173.388465054791,-169.688126909163,-230.749267394986,-220.3919474631,-225.929267821127,-175.052193424694,-297.057812025176,-203.26439623991,-191.853209308646,-172.797274761305,-273.464276770198,-201.275215142459
Direct Suppression,-203.341617541361,-191.684622539003,-261.000702570554,-194.184500632916,-244.20890264867,-231.853993367199,-204.738139414675,-180.203807067893,-305.254860498689,-232.326413974502,-232.880626550596,-181.47435966232,-216.854926374954,-192.667676448277,-293.929411084277,-187.655896276395
Generalized Competitive Suppression,-209.031977475244,-206.644341973457,-212.35422921372,-170.075149569899,-183.923494796674,-173.430772227529,-232.242384175518,-226.633767273697,-191.492433737418,-137.224110219671,-213.812926248633,-177.706525380771,-190.32416904317,-176.958041776625,-232.399970755738,-207.139619527026
Generalized Direct Suppression,-164.548398001047,-159.483054371807,-123.695194840249,-101.929055771943,-191.912067483282,-184.619047326964,-187.229143716146,-180.935239096224,-185.684391430843,-169.86754723946,-100.339560594763,-84.446134549026,-166.654750579082,-156.344571692502,-237.744062241111,-159.470077816002
ROE Competitive Suppression,-181.537742911408,-162.909594737982,-206.523890977678,-162.870614866454,-186.684872667904,-177.953417408308,-205.580838527551,-186.56916802226,-280.839334410119,-184.341632024294,-212.767109348752,-177.290311607712,-181.064238728735,-157.218696206201,-215.706515020866,-162.843283977178
ROE Direct Suppression,-169.324798291279,-162.410995983914,-214.957855249657,-164.758744475352,-210.854710778809,-199.907291662339,-177.53140940225,-171.561692494093,-256.227764103503,-201.250561984591,-226.741593358409,-170.783079116764,-188.629916860724,-164.287564767456,-308.44358012286,-162.391317079856
OML,-149.348306814011,-143.396080634463,-227.81024409839,-149.434076455147,-211.940656011081,-201.650053648072,-171.384929748737,-164.078851056769,-245.93343794281,-204.876139722844,-212.3378446917,-164.850379237737,-152.124808501004,-146.079616093885,-408.881253876704,-144.525663312762
GML,-168.83336214189,-155.765445875171,-168.336290657987,-110.574134719058,-190.873112314292,-179.658569085505,-186.111059339666,-180.80273312971,-208.061171440313,-165.471654977755,-121.853970387851,-107.668214183332,-176.311848235116,-151.51459584225,-240.081406004185,-155.706896475716
Competitive Suppression,-194.26730415375,-180.800878613185,-246.932628726076,-175.022474111317,-176.679375668985,-159.565805222682,-206.124182564788,-201.485347319911,-196.858798244975,-162.642484670359,-230.795956459691,-182.418693896819,-198.488431617937,-156.513319057114,-328.352938867577,-181.277250890991
Direct Suppression,-193.907574420076,-184.894110451321,-233.908976590451,-188.317028065231,-235.339691155607,-229.506501625586,-186.566263747479,-177.032837375474,-268.795811695078,-228.909612799691,-221.160836004573,-182.633674909258,-192.345336882322,-185.566462589664,-209.776173005136,-180.013597796544
Generalized Competitive Suppression,-209.237426285773,-203.743979178009,-191.111640533524,-163.211689397731,-186.930171585073,-179.003654160988,-226.034428837736,-219.556970256444,-231.582759589291,-157.68536147805,-242.196928180461,-166.002398270515,-190.263316912426,-181.187946739557,-216.323455582305,-203.09369273836
Generalized Direct Suppression,-171.086775193771,-167.026462581366,-140.480797389206,-120.039846205203,-189.333195145542,-183.953477967766,-184.513241372664,-182.420469376347,-246.20770850786,-168.185017219518,-123.574791805191,-111.293098396596,-175.388552232857,-162.867605982602,-212.028656606096,-167.227900694682
ROE Competitive Suppression,-160.491658912747,-148.883335613462,-216.897015492334,-146.150993194268,-175.521522743944,-166.652873389624,-193.514628538185,-181.021484409328,-225.612164593475,-171.258453214802,-237.698637076146,-164.05828350989,-217.841378174291,-142.708508188236,-162.486252084803,-148.874586951874
ROE Direct Suppression,-173.418914280709,-163.123631634517,-216.402096976231,-163.573170756557,-230.836990662648,-212.995732448714,-184.549566372005,-175.62067941208,-284.680153062576,-212.506930230369,-228.465131309717,-176.452493207044,-187.058507483744,-163.116626496594,-225.166067886707,-163.584579390263
