originator,OML.aic,GML.aic,Competitive Suppression.aic,Direct Suppression.aic,Generalized Competitive Suppression.aic,Generalized Direct Suppression.aic,ROE Competitive Suppression.aic,ROE Direct Suppression.aic
ROE Direct Suppression,288.976881162389,314.834772946628,390.499435259642,324.668856519103,418.421549036564,345.073219107024,313.395706496193,307.411746753415
OML,286.86850160864,290.767510856249,380.149503758084,332.711918171016,397.138813344939,329.507926989207,307.712160832035,311.671277066856
GML,303.983526890923,162.782004332732,323.072128027425,351.742873510801,284.285569537824,190.681143578081,297.365887930009,329.269572560904
Competitive Suppression,383.119120048135,396.8426267982,318.30100792459,424.468135703719,329.662536621928,419.703170900775,339.887896640647,406.312460500631
Direct Suppression,335.241094377066,353.9568505438,436.052984362294,315.983706793713,465.688532016045,339.939090622205,361.432930253285,330.307475397703
Generalized Competitive Suppression,410.951726187085,328.728834150367,330.24235411362,449.918301692114,267.902817881639,341.345398330616,345.105105490826,435.432824310179
Generalized Direct Suppression,315.25722179829,207.93688859648,360.122249219149,343.424599970814,327.915019727604,174.338932697607,327.436668335976,338.869790866921
ROE Competitive Suppression,331.835323939194,352.903754259008,335.279697367922,360.682931267856,368.52333988982,364.187058527057,292.304238434978,349.198399911142
ROE Direct Suppression,302.776986172153,336.488381450885,371.833836085024,334.68499630177,414.000448693358,351.907703861255,309.636838629628,316.116065532121
OML,299.549236504663,317.145717785769,386.364866132206,322.830062469829,418.746660809682,327.148709901801,320.496044616314,310.553797496922
GML,310.682402980684,181.025918907585,315.156609277663,367.839782414371,270.820586920299,211.62020667183,289.060814228919,337.279817627469
Competitive Suppression,403.139292792469,401.932917634735,344.411304307639,438.262318827902,354.678993746834,422.135888229094,352.816880735423,427.485199263707
Direct Suppression,345.375048996975,365.768552756821,443.207787395669,328.372506422592,479.588163471316,346.060629101067,368.212482017985,331.63120168512
Generalized Competitive Suppression,404.29738500026,312.169874010529,342.896778995123,442.842269622737,257.323948191216,327.873574536054,359.386730111225,429.745675848641
Generalized Direct Suppression,311.763285590172,178.958838955983,354.11845823668,352.15524208363,326.063473378164,160.728835373192,317.758859908976,336.446897441359
ROE Competitive Suppression,309.003594031193,329.635053942558,311.900016640032,353.793238537125,342.334143716109,350.803915400881,281.697171285211,333.795666018577
ROE Direct Suppression,293.739397694117,330.067803451239,364.365787120994,331.187835867641,404.953413893613,343.613736982227,311.205024508102,305.661334432391
OML,280.174769642338,290.620947158195,384.174718361698,313.690210966875,408.792995326217,317.095816273238,301.331051495344,302.288399497165
GML,306.849502947799,181.209650702196,333.569942749172,360.620718525694,297.462963276539,208.018088627418,303.397577547561,331.792607390845
Competitive Suppression,382.386041440036,389.231279875386,305.227015200508,422.972379713177,329.745154302079,404.477165824817,317.419854158157,406.137491208311
Direct Suppression,376.800972622731,393.551481516774,438.702716491361,362.836426449319,462.496753676259,388.430830259319,398.974271522315,377.889144488023
Generalized Competitive Suppression,396.673870251778,278.594373451464,334.169114743448,433.456900804735,236.589386733439,283.03047698933,343.85342769202,421.874978630403
Generalized Direct Suppression,332.758603546295,184.400829540301,347.280281609851,372.084281115452,308.56459681692,143.517555631474,330.294109907472,358.034237389731
ROE Competitive Suppression,294.853733663697,310.808189708856,320.681255145297,340.413036109385,350.726217407124,331.455368898856,278.357954441995,317.711514526136
ROE Direct Suppression,310.338803097493,329.869553164898,401.245114458698,327.554952580466,429.294589559147,326.784942982157,330.189823025722,321.713140398711
OML,290.897936256381,301.491190605657,376.347543928526,325.54818667741,396.409066195915,317.792414307249,302.826699457163,316.172340741256
GML,329.432523093326,154.972275761016,351.505049159474,363.535620432394,292.084073189268,166.556316123859,328.295784634354,349.748280878142
Competitive Suppression,354.760377558905,349.984735133425,302.667899910097,405.541224687359,314.825332941472,377.093323478822,313.629670219739,379.825209018197
Direct Suppression,373.624738470785,399.649154351217,454.931353136853,367.410868143148,493.554608986589,399.376463589621,394.777962691124,384.333890553663
Generalized Competitive Suppression,381.40944441646,310.511472016884,318.475228751017,420.578438877138,244.620070020755,322.907682767759,336.800902840406,404.027993831207
Generalized Direct Suppression,310.120331797283,190.028949099761,347.047956577464,350.476279163076,292.691326354765,168.772142634206,309.130989264458,335.331247618165
ROE Competitive Suppression,317.276378703256,334.989561601091,312.779866302688,360.378375435978,341.971694997791,349.538580369714,266.799307623334,338.587233587582
ROE Direct Suppression,307.326432600372,331.968678301274,387.893576302884,332.889578368458,418.378759528763,337.375922717549,330.663090570373,326.810424870375
OML,291.862676017157,327.581460418459,392.345698352081,325.320346150456,434.318826219329,346.529494944584,311.797104080657,313.521290324449
GML,311.454271495295,180.12861295444,344.654912456361,360.879127100887,301.581179883893,190.942429865511,306.024233848089,332.725448169204
Competitive Suppression,375.035068971305,394.93428890544,302.509179571575,414.649765065398,338.288093175153,409.163755532677,320.164797580001,398.534847298794
Direct Suppression,345.97691569968,361.58668717105,434.092578913177,336.761972228675,442.298283902056,359.658494465062,371.282930838816,348.951003348897
Generalized Competitive Suppression,400.445106453543,321.483164664676,342.99600860568,438.837165551497,272.931962405505,336.076231935786,360.56960250374,423.652773064431
Generalized Direct Suppression,327.429739974268,212.703940522403,363.490378568259,360.978003837123,324.910117910417,186.029444021541,334.244421253082,347.855747833736
ROE Competitive Suppression,282.141574782824,304.364069450715,300.40886209079,343.281927113928,322.375424517283,335.43798021081,242.709518833875,305.039771809372
ROE Direct Suppression,300.12607787309,315.32816345853,379.544054842785,325.688211236987,404.524453860224,318.940823064149,318.281102144886,320.096379358017
OML,264.616097975244,284.593996956348,373.453900803936,299.890624543748,397.659640879268,293.379701687836,288.55261622473,284.524110469909
GML,318.750739437081,196.819096708635,334.537754331902,366.181681685544,286.142354613792,214.173310377739,304.208839801654,344.893482777284
Competitive Suppression,372.870522912122,377.645010837687,287.03986832573,420.544791224929,311.223486281405,399.638127610545,303.906327822564,394.144432532832
Direct Suppression,335.445984810889,355.202426639294,420.105299808778,330.186801411534,447.613626803396,348.368035463581,340.944633245896,346.697310065831
Generalized Competitive Suppression,401.470173450854,318.778896286279,345.055351596682,437.71043958717,269.610406479404,330.470257849174,366.118081706299,426.659489554192
Generalized Direct Suppression,336.805805151033,209.063810527108,367.092033140647,367.251654023459,320.247066841,186.880531685072,342.898408170967,360.794426330356
ROE Competitive Suppression,287.320555524328,310.381905115959,323.627792237769,333.577125111534,346.5048143961,331.495159728874,269.783407000991,312.957810735164
ROE Direct Suppression,333.337804449716,341.237149186018,395.006191253194,363.367251086191,419.963102024269,356.099537247813,353.830955234534,348.892533180729
OML,276.540153899453,301.059040180878,373.866951702171,308.45204277041,409.19632105747,306.156071536824,299.522247958766,297.32745401135
GML,310.089294378787,176.01353768765,335.645044667525,361.05297996467,296.610427578941,198.763081485735,302.686074748664,336.34289809675
Competitive Suppression,354.423777182324,357.883352504962,288.322798394688,394.3106051187,323.963704195955,371.978527374918,301.754526355588,377.412594722199
Direct Suppression,359.628853492352,373.207743401774,449.743186167825,345.18141810602,480.574098204614,367.435288648794,384.353026500505,353.781671682674
Generalized Competitive Suppression,386.772499914067,296.038607867609,317.860319788366,427.149573897071,254.244579656591,304.945519665222,336.590100900957,411.936082470148
Generalized Direct Suppression,323.697794656869,181.052223585705,355.744267084204,362.15766742493,315.838333233607,144.482539313458,327.166617446244,347.576542566277
ROE Competitive Suppression,303.366745694819,308.709903832129,312.851478597915,338.886000700686,332.766323769433,314.039423875244,277.887297951617,316.54280083058
ROE Direct Suppression,293.333986453553,312.73313358573,396.194140550003,311.788963679492,426.639546541783,310.391005435236,318.960765962577,311.191522824762
OML,285.098187290139,313.601770581363,366.972088977841,305.730088267772,402.024285203129,323.045232581809,297.941905628045,303.988777324981
GML,315.47389470288,163.87372561898,346.947077544249,361.468753074899,299.019505340645,192.010836505569,307.170607682944,340.028006642286
Competitive Suppression,383.856240187169,394.672191270379,317.996159194536,426.176691254954,352.972395888323,414.817481382958,329.266917707873,404.76110887568
Direct Suppression,368.774120117817,383.150010543917,446.821156897438,349.749663614212,478.162412734819,368.43843175235,392.827562834395,358.945748544869
Generalized Competitive Suppression,395.210457236317,307.036920370703,343.76975265447,436.306532685937,249.387108615142,324.645408917527,359.363094810757,419.938451637074
Generalized Direct Suppression,313.838666309795,163.27567095504,339.245935508708,354.521935790672,292.708601994574,146.553456730144,308.84361897702,337.112595534071
ROE Competitive Suppression,310.973329798181,319.191169369935,325.145953219557,352.539694196085,335.859091590369,356.336630813331,273.595391608545,332.349041895627
ROE Direct Suppression,316.191887888542,330.776299487921,401.803716012591,343.626654197732,427.551914107333,347.094790929961,337.699614989727,329.670014853988
OML,297.429669573694,309.666699017516,372.582781221211,333.331249222942,393.218493399716,333.323965433523,313.495656971694,317.972810307503
GML,305.236550691083,182.53714124144,331.877999414691,360.164601973934,294.228506339223,200.140887613299,299.728436085213,331.606590388137
Competitive Suppression,393.70247570571,386.717866971751,320.652978942455,436.718227817784,353.08740025304,405.216792654823,332.211277014314,419.348399389225
Direct Suppression,372.355312340918,380.029047479805,440.885356432411,357.369738603448,469.686362853348,368.99665358163,386.852019465746,373.666534770487
Generalized Competitive Suppression,399.008407171273,316.558878311311,323.246833903286,439.69672221845,248.239133345984,329.648213185139,339.574534878755,423.606609275209
Generalized Direct Suppression,325.727157038491,202.629654389038,350.751460793085,365.042263486981,311.983658923828,186.049106744704,327.349519496826,343.794234341785
ROE Competitive Suppression,324.536170684226,353.021351657459,351.345804326829,368.98316568607,383.841713961724,372.971335880097,299.529831835074,344.398243013179
ROE Direct Suppression,318.321234521298,355.808765419852,371.220615972619,349.680332996793,402.112063979714,374.032018377145,334.710857130838,329.196596741543
OML,275.866760228663,286.401120661492,354.057715549846,325.107841491361,387.995279649193,304.290337313636,288.732476625683,300.65067073467
GML,298.528952399152,136.497545667544,329.791775368318,352.64034848345,279.91216432491,153.578154963105,288.365711593935,323.895360099789
Competitive Suppression,364.974002661177,372.427659151003,297.892293846837,414.064164674605,327.234357999449,395.584348798577,317.688867222687,384.77320844972
Direct Suppression,362.905011344047,373.661163659067,437.600630943301,341.189833593728,462.593780219277,351.122954792652,385.629162009095,361.453859542038
Generalized Competitive Suppression,416.63405482466,306.653718818813,341.091395690197,454.629396370147,237.160478638543,318.174930997921,352.029939321978,442.005409327733
Generalized Direct Suppression,324.467908566136,214.875334209487,357.703772221027,367.313541289416,328.694490705519,190.179617153552,324.183503426924,344.948342398908
ROE Competitive Suppression,308.400004272416,306.912270610099,308.369196077205,350.893083606694,329.572544274317,326.49806166227,271.291114803392,327.350356703763
ROE Direct Suppression,306.476545821633,331.382409915559,393.788967990626,331.235905649673,419.932264935741,349.365763761734,328.478762949065,324.008624566226
OML,322.923618264538,337.115527059976,396.100261734179,362.934910624611,434.695806831989,349.50870703459,338.243076949788,348.145601577716
GML,317.652961033085,202.245491594227,335.893409528368,360.044203923971,304.418154287686,212.888815737852,309.666793309,341.836903600511
Competitive Suppression,381.046306244329,384.41907291986,332.854724942966,412.9982374992,356.18955212724,392.521644082933,349.828870793606,405.632175086727
Direct Suppression,366.088323754741,382.993290064505,442.079099531491,344.824573186303,467.747123611169,369.287633103852,389.935272982786,363.774275096601
Generalized Competitive Suppression,394.357104213493,299.015903481423,340.028061224895,433.511713393341,278.339780970716,310.721202088365,353.066165046558,419.219628102161
Generalized Direct Suppression,308.665898143064,183.728382516336,349.294753931747,355.130896218784,303.845655666847,173.166049916207,311.311725953016,333.415741947979
ROE Competitive Suppression,311.481511626748,334.136922229693,304.543359493938,356.695208887757,333.260557048714,356.785672765452,259.685984919355,334.340904571814
ROE Direct Suppression,291.162820890503,312.997844150463,353.368180613443,317.63928759653,386.100617656948,315.791658686231,304.955025340666,301.012641882739
OML,303.255384086025,325.255313816876,377.265515859876,336.353361495854,398.942787331287,337.477115710313,324.382483131459,327.878874900954
GML,336.720499605644,181.586708770216,339.497091323678,372.160850974574,282.078298444284,178.177446103231,326.432455207763,357.274602597483
Competitive Suppression,363.349959988613,355.611302163121,278.176348969866,407.377291841521,305.694826127148,370.462286932375,293.969226166431,382.353562307225
Direct Suppression,347.351772193057,348.819682067006,425.155215399691,341.011057718683,446.027570995502,331.833870742695,371.656109208659,346.092659700314
Generalized Competitive Suppression,416.673592621275,312.11238374373,343.02032465709,452.697161891394,262.827024427852,324.306334021862,358.496225301148,441.098188035752
Generalized Direct Suppression,306.684462174715,170.973951801732,349.255824062897,341.45272115577,305.945481949918,140.030913331475,305.415958799387,330.811345327652
ROE Competitive Suppression,291.512119324834,314.891674339798,318.964401830084,342.67375938416,357.532749812616,337.885031169531,262.00982795947,312.474415839039
ROE Direct Suppression,315.929577139458,336.174840201946,382.807866069607,335.400300285602,419.357957982749,341.804559503131,322.340806501592,322.884433477327
OML,276.422706583281,298.727668029228,377.318362404444,306.994681993402,395.996057591953,315.855023838159,300.67461819381,288.034092973948
GML,298.687436862839,152.455110117356,338.3872330653,359.675736410312,297.748653706461,193.407435041483,295.681248999309,324.821373193496
Competitive Suppression,381.029269562076,393.403176816827,319.819072225579,422.016576896385,318.811886847792,411.632051416507,333.48050881109,401.509102806555
Direct Suppression,349.874927532346,366.705579941903,441.651442455517,331.042738462188,472.458420834912,348.683819489609,371.925044642751,346.651391156107
Generalized Competitive Suppression,377.343509766914,278.449715576816,339.170281099524,412.416512329084,249.464008055611,292.03985943798,346.944334187276,400.638264677242
Generalized Direct Suppression,316.99136997078,196.384561369148,355.691413223011,349.974117578468,314.81857837677,158.860868514885,324.289773517465,338.676707695625
ROE Competitive Suppression,298.783560514294,286.074387215445,328.398153053994,343.075534002652,336.724386936518,317.271476019832,275.807057566065,325.169721147773
ROE Direct Suppression,314.365380229766,332.287469280304,401.086227747921,349.529310819035,442.512666100059,348.180726946876,338.139117796229,334.461019208049
OML,290.030824191143,307.272417496234,372.686170841721,312.071433949482,396.548353750746,324.697628848346,301.002487434992,308.600980410996
GML,299.082944099877,141.686606203006,343.023811813196,342.963837680117,291.186390790262,155.623765487847,304.4164567368,321.415312804582
Competitive Suppression,379.039020518301,386.278766938113,325.558836935055,414.32552464278,340.592851706981,403.05739778624,343.486672916526,401.562963783159
Direct Suppression,374.517063099052,391.923779366796,462.536245537438,344.828325437615,492.266622199511,373.979679664404,400.545276261176,360.786721623973
Generalized Competitive Suppression,411.064830300709,295.035889253936,332.605365362784,448.118111140211,230.429602032751,313.232196962084,352.871617398339,433.502030722483
Generalized Direct Suppression,325.150255225425,179.357701511688,354.582967642339,361.920462515927,306.005110559166,144.359293826233,323.563387587333,350.512955071715
ROE Competitive Suppression,286.710874357802,301.228577747146,305.801460786228,338.951436804022,346.076469644774,327.721560300898,247.091970588985,310.966169282222
ROE Direct Suppression,287.659922965117,318.621680214547,397.124272984387,279.223263261965,434.957109031287,303.402516212521,311.636720758141,274.506840343891
OML,312.609072554562,328.822041268884,373.82157821638,335.983570183256,397.280637304846,335.876874689813,326.91570319008,328.435325860621
GML,289.881438471457,164.094424831461,329.034487313716,344.039679182618,288.056220931628,191.456124473808,285.329701417621,316.224569582285
Competitive Suppression,333.702490319801,356.377483177011,292.44048652773,382.21407844806,305.028678579146,379.677419600962,290.417890221537,357.244017293494
Direct Suppression,343.366325146614,373.830295513508,418.178592143328,333.284681783543,447.879683528542,364.776608168853,355.968269883084,342.241485268846
Generalized Competitive Suppression,404.81690949706,290.636412441794,341.208102327918,439.370143960909,258.354780325409,293.228333703833,359.075724786256,427.609697392262
Generalized Direct Suppression,324.498572916261,168.39618635639,350.846280284098,359.358161178809,292.655058122039,125.081913633105,321.425018977754,347.590331932236
ROE Competitive Suppression,295.220390085884,314.30804429986,318.717617325935,338.52560764498,349.873252185429,341.337668946559,270.58916732009,320.67087234139
ROE Direct Suppression,303.385126643995,331.892420908113,395.534439690833,323.864599807649,427.786906245256,343.179074685102,325.877561151255,322.253104801193
OML,293.56491377279,309.435014156072,379.649117337056,341.130029384962,407.763540033525,326.082318269268,313.527807758308,317.76357426139
GML,315.860166274247,164.366670378178,331.937617727576,369.666016995004,272.833197847477,190.103796662627,307.298334546487,341.779587143287
Competitive Suppression,366.003419002181,375.478647638293,298.693202972028,407.076841430389,327.981313803957,392.883943701655,307.85183562985,390.131499488482
Direct Suppression,352.160944536432,374.326151413698,438.54177281659,332.970178670668,467.393691441078,363.997434022221,376.114097072894,342.204824131152
Generalized Competitive Suppression,398.836465657977,308.236865812743,341.010455229202,434.516884087252,248.786795006463,316.931254894601,359.540800025072,419.9873025992
Generalized Direct Suppression,332.675452609132,210.502958186779,353.080302337563,367.955841084579,316.671279953507,175.476915639786,340.272659707204,350.930472896218
ROE Competitive Suppression,304.77115011303,329.111220797543,340.895501354524,333.491663407878,373.791491806442,339.356206723042,295.51479017944,322.751081667666
ROE Direct Suppression,301.950251264574,316.202738701676,390.804684969161,318.366392949699,423.118149799274,325.627871983074,320.984723902297,316.009651399753
OML,300.850876860635,335.419803001962,382.314363873467,329.508815779417,420.621970036958,354.226642378463,320.930371663763,323.266881400302
GML,314.03697894139,183.041992950223,329.854750092074,361.86540277389,272.808367827197,206.143335058371,303.698236344305,338.669784023404
Competitive Suppression,392.205552438346,397.999862420023,331.048012851929,426.585475315014,361.690172660238,411.002396653401,336.635275169114,413.788993546878
Direct Suppression,347.723202260518,377.501456602225,442.991273938104,324.756834049267,478.940253034162,354.953804971253,373.440013626994,326.952265495577
Generalized Competitive Suppression,364.714824197398,281.947717131952,319.233084353858,401.587259563414,257.084376626505,287.066984250481,334.377261512684,387.286954501633
Generalized Direct Suppression,309.72549541036,210.421490485853,354.350586793653,348.34927524125,328.708476011295,187.68144417687,319.26173579865,333.334672048259
ROE Competitive Suppression,302.738489287936,309.372621926581,322.235883545696,344.711616289285,358.644089693951,328.577720672093,259.47936088179,323.106846491813
ROE Direct Suppression,285.039788639553,302.964811152325,354.728794314382,329.765563780295,379.532911886439,320.944197071734,303.551841764491,307.994695823404
OML,300.136193224467,325.114819280029,390.289306262778,334.229361282381,416.900209539707,335.662569117302,321.868871142708,322.197170268986
GML,310.294537769582,151.67244223283,322.45117963119,364.244270128329,283.747186698654,180.074200438453,297.19542182922,334.982997038588
Competitive Suppression,353.387969539435,355.592100318963,302.747851616218,404.598441531114,308.781896567505,383.609243913019,314.069355952598,377.855101413505
Direct Suppression,352.24588326152,353.459778019387,426.683180951473,343.294478689733,438.806342472237,364.856881778964,375.730182229834,362.118124128837
Generalized Competitive Suppression,404.379711639505,309.728317849367,333.004532670578,438.257683190492,236.388773322952,318.887267786799,342.793250686294,426.096511081204
Generalized Direct Suppression,323.42804182565,219.629890535381,353.914564508007,362.981067636532,327.770873236986,196.754191744386,327.738553026779,348.224479363411
ROE Competitive Suppression,295.947266521519,311.68291673969,338.825475148049,345.58688750313,372.020594630883,341.161050693353,285.21487215615,320.508923186092
ROE Direct Suppression,277.227345866749,312.179364739892,371.20845217116,311.14180541752,398.268224589891,328.605003702648,295.654831497923,291.857040387661
OML,296.818589337051,330.560973202826,380.167760180947,318.538169906701,403.952258878823,334.877972278914,322.277248377451,316.15349333504
GML,302.540421995492,160.426164232704,338.135395947888,359.33629022855,271.613082012826,186.258274846355,285.238586053696,328.686720677343
Competitive Suppression,373.393612594159,372.533701427177,287.781793911472,411.157837178905,314.109614394908,386.414525178914,302.165456385936,393.096443812414
Direct Suppression,387.2995146398,420.189652577008,458.01091278249,371.421226080983,490.507958946861,415.775034279483,408.197516723314,392.054204653049
Generalized Competitive Suppression,384.294155453464,299.667621597395,333.755500607969,424.307192590515,237.051161422042,318.498905113097,338.42490094062,409.247795440627
Generalized Direct Suppression,335.783296168901,180.86698650561,351.888920599134,369.409563292912,298.624252750103,163.376519651704,332.703231568412,358.797326858824
ROE Competitive Suppression,297.904005184823,320.636328625651,320.887210519767,340.686224427849,353.678509243691,338.22696554134,262.253987620902,314.506529058042
ROE Direct Suppression,314.351081738493,336.842092753953,387.615743294159,338.981552818261,406.067955743419,352.430385627647,332.25251100689,326.234758435064
OML,316.244636748893,328.804702269985,391.851975907286,342.355577245535,425.699077952956,347.343852794574,336.974437590009,324.728934687041
GML,322.349508207416,171.20084382189,338.915991674322,368.544981561314,292.24632522004,176.953092249002,319.135875830469,347.145116119529
Competitive Suppression,371.664796566302,379.814346683318,298.989687134651,420.547338225824,328.912879088342,403.817534831417,321.509370355888,391.716671300758
Direct Suppression,363.193340702487,396.054227462997,422.900352974413,350.67230207007,447.265837225876,383.688274790797,383.943971364995,362.236928672279
Generalized Competitive Suppression,386.786842658256,281.51883587971,350.927082963607,418.311122737731,281.857439518344,282.930497680854,362.754539290769,404.583430542692
Generalized Direct Suppression,329.770707421044,195.552996357477,353.669243786662,367.134261953114,307.325029127217,177.352070411695,324.142649501588,354.11101031599
ROE Competitive Suppression,274.408871673034,292.678248843352,315.614674269867,323.531380129511,354.273907004347,304.331347353264,272.188736259225,295.698021817247
ROE Direct Suppression,311.480229114966,347.090630925852,395.211975968975,338.146070462112,429.55101880416,346.199411763299,337.301288095636,324.96190979361
OML,311.18770028049,325.964597394764,382.653121049912,343.48509322993,404.988014610008,356.321830044947,330.304444910014,335.119395046401
GML,313.605197642484,184.322818663182,334.735986433403,367.328679173012,287.259776057152,202.678505054052,311.148200409108,339.951966010778
Competitive Suppression,382.965103209713,404.264057061634,324.657117498128,423.79940930346,340.562702923808,427.4000120441,340.904338985448,407.352264308641
Direct Suppression,365.275108102571,385.599978400148,434.441128948149,354.273528284437,460.243886362226,387.250553552643,386.469726282975,370.667099397404
Generalized Competitive Suppression,389.789322490916,292.540604128292,301.907755286016,434.857906652344,226.769812182298,311.057214256149,315.177771750244,415.169363047684
Generalized Direct Suppression,318.604394012358,200.727678847197,356.401857248292,348.657678517073,318.855921708449,181.972498209018,324.975130946489,341.52638984068
ROE Competitive Suppression,309.652243388973,325.189499243382,333.094854786832,356.275714629403,364.42538241085,342.993045376523,288.830177931818,334.604438448075
ROE Direct Suppression,301.141607516213,338.683249812382,375.769627227616,330.894091582879,413.490226690977,345.819599779753,323.958473086639,317.533076129572
OML,281.358302669135,301.487478318474,358.512574739689,312.390015975938,376.645023854727,315.583349726586,298.29167877486,301.733024504445
GML,301.839789879914,167.299485510709,318.925256709093,354.537489642905,284.839574235996,197.67121960507,292.241159750526,324.796800069614
Competitive Suppression,385.572962838851,393.42875639807,325.695085035983,429.160119443322,339.848950349582,413.979137720732,335.623610180596,407.334240270194
Direct Suppression,384.422847010584,414.308536237972,438.765076604574,367.366255774638,463.067734356824,405.280320565748,407.739726622436,368.409655098112
Generalized Competitive Suppression,377.542274708958,277.468783283107,328.70608859194,411.95325410898,245.606996854493,290.874677913877,344.426521059134,390.334234333884
Generalized Direct Suppression,302.794784276751,181.293444801259,343.319059133627,341.51309890354,307.320599471118,161.523960184779,304.520923836243,319.436370582551
ROE Competitive Suppression,323.602809765134,332.687489849319,342.201372699594,364.626735075589,368.820839083836,350.69144294827,307.528420706517,350.296597575077
ROE Direct Suppression,309.759206390604,324.757184951659,391.212760814087,333.453509557345,416.613919894763,337.517223987585,331.301570761417,333.672808604411
OML,295.712143106875,325.589792561339,381.483888902418,312.202118395676,418.67005141363,321.342387017397,306.751481833245,310.872352252901
GML,302.832348351086,168.937709859089,354.455253807818,346.63827203172,311.175983384008,182.322560366217,309.077750067228,329.25320511214
Competitive Suppression,355.126992164988,363.860776899017,306.575852214571,391.624562775503,320.47165519949,381.760813573024,319.871189505716,377.300273534141
Direct Suppression,370.061083252523,394.516580777791,457.378061011428,343.102809922657,492.13070356865,369.794393158029,394.991365239175,358.025236832615
Generalized Competitive Suppression,410.831811187401,301.690160071907,335.37454184544,448.228377030442,250.225983112774,316.046033113978,350.833472020842,435.182379636302
Generalized Direct Suppression,316.990599699242,184.884833431525,342.246945559893,353.429948751386,304.166850397615,144.257335964174,318.188289933989,335.475498186241
ROE Competitive Suppression,306.984285571656,336.071189379795,343.810357502724,348.233791965544,380.343587496107,355.546960631359,298.123283479411,316.188917221933
ROE Direct Suppression,343.374383006818,373.832844383215,412.76452359495,360.100451810293,443.306126215095,382.01709601555,365.52567915995,357.648050886967
OML,280.411706954053,287.852904395853,380.367304301623,325.441525262706,394.257566831558,313.951072923759,303.084752748318,304.935716689203
GML,302.71528883441,141.982900779702,334.747335094508,353.289833989204,286.688819719308,177.135106880761,300.266991031574,329.257546147157
Competitive Suppression,344.136797195262,355.781098340709,290.190895377759,399.047850231056,309.809899758266,385.620193623464,284.164975366114,367.43697388742
Direct Suppression,359.130119669452,376.53385540773,433.72143788418,347.00991652265,463.847749869041,364.654749226289,380.979769505368,357.768571298914
Generalized Competitive Suppression,396.655661804583,321.542996824675,330.829455570157,429.062660940034,261.43234162737,333.633702908757,343.577758324884,420.691355203893
Generalized Direct Suppression,318.443470579363,172.357543178344,344.60321223031,360.47002374932,295.184846749237,163.673775290225,315.417689926648,342.726882919764
ROE Competitive Suppression,298.513774129717,318.738034362009,315.315396075138,345.984620723731,347.501209625003,338.742663790415,263.71196566674,322.843880252373
ROE Direct Suppression,317.295907969066,341.848475241723,405.643954762733,349.999204649092,438.702311352814,358.630708561549,339.889826911815,335.403595267823
OML,318.716216115411,346.057616086588,398.685358008225,344.138001450165,433.037293683223,362.696912791548,337.728886535768,340.070911950137
GML,289.708497419575,142.025526893156,327.805749642157,343.863837850737,287.322276020416,158.964710923517,285.425556911845,311.007919572192
Competitive Suppression,382.093967682445,390.353278567442,313.93624541796,410.823173573279,329.137449384923,401.075220513705,331.391393803656,402.332837319925
Direct Suppression,371.587140741303,387.949179894517,431.141432961832,362.246113183737,443.017966687882,377.732890687496,390.841275728301,378.65112003651
Generalized Competitive Suppression,406.472521328911,304.104562265723,329.361485858459,440.426660539817,253.406464436045,312.300687279013,348.027690816959,426.934417437201
Generalized Direct Suppression,333.848853639178,207.67261966492,374.368972200373,365.258205259944,332.16222331943,175.955868981192,340.680194288455,355.547427846811
ROE Competitive Suppression,315.294018858821,306.601523121176,334.368486112694,367.850663299542,349.984820026464,335.362782011165,278.102089587685,330.889882574662
ROE Direct Suppression,320.417320058083,326.616427022715,404.340276845626,323.534902179347,414.417934038303,335.160745011761,343.692488051069,330.569797144535
OML,286.644849973189,311.859730922819,356.929836030505,323.083781181565,388.749092749428,330.064798781716,296.388399642212,302.54990804568
GML,296.985070461162,170.135249865864,330.698669203629,344.37956132991,291.307071607721,182.487594962387,293.042264401231,321.560259459382
Competitive Suppression,384.992722324377,408.916780781437,326.012943710525,423.610236290561,362.869711304175,417.710106320311,337.826997663719,403.373537399871
Direct Suppression,360.088195663011,386.576842219786,429.070515366998,359.696734104447,463.141286899351,377.69854505974,384.435758717005,369.216889879225
Generalized Competitive Suppression,391.852870507428,313.661511452775,315.588465940639,430.721391486912,257.278441447781,326.634341986295,331.293698361684,413.2925422871
Generalized Direct Suppression,314.720818260936,162.819044031553,327.403281901336,359.223130804734,278.325528069074,150.472078902823,296.328615115673,337.915303004353
ROE Competitive Suppression,301.6779546602,320.019413110991,329.816312902032,342.417452009288,357.728600446537,339.420248691273,271.882582926798,322.949765659668
ROE Direct Suppression,304.237179635263,335.606833401621,384.698497833365,326.058143112109,422.737445566738,340.715939037099,329.29049658931,323.576930329844
OML,296.07868641404,330.54145031463,395.197850977404,317.2994085461,424.163474212938,330.621876929172,318.839959810549,307.666063437619
GML,294.574351854447,179.155785826827,317.358736227494,353.904916790421,264.381637249778,212.064858516982,275.888184349883,316.608018867705
Competitive Suppression,357.437090330789,349.894975374821,283.641666494742,403.225460045997,298.759645623533,361.503395858443,296.204568037381,382.06421956306
Direct Suppression,385.737325047067,391.687714862382,454.679812611426,368.982439192968,477.774904362463,383.911105301454,407.620649602765,382.255950583779
Generalized Competitive Suppression,377.082410099437,289.396517390893,333.662490448449,414.984923007775,273.456812787433,309.682316527496,350.908285284241,401.954588672658
